time / s,Au,Au(I)Cl2-,Au(II)Cl4^2-,Au(III)Cl4-,Au2Cl6^2-,Cl,Cl-,Cl2,Cl2-,Cl2O,Cl2O2,Cl2O3,Cl2O4,Cl3-,ClO,ClO-,ClO2,ClO2-,ClO3,ClO3-,ClOH-,H,H+,H2,H2O,H2O2,HCl,HClO,HClO2,HO2,HO2-,HO3,O,O-,O2,O2-,O3,O3-,O4,OH,OH-,eh-
1.1207103863515559e-30,5.2540927894333035e-198,2.71349179390682e-150,1.6583564364412656e-49,0.01,1.6834503967133773e-120,2.47879241203809e-192,3.3669007934267546e-120,0.0,1.35266127e-316,0.0,0.0,0.0,0.0,0.0,1.1170878373216489e-235,5.287957119973666e-188,0.0,0.0,0.0,0.0,9.756468402561344e-169,1.161534465072129e-27,0.0100001,1.9746085906226196e-28,55.56,5.459211985839007e-28,3.413606812461547e-154,2.438360166456799e-187,0.0,9.292275720577035e-29,3.977169546330065e-55,1.12505305242434e-132,3.059097786912339e-61,3.071761794320416e-54,0.000255,1.1012889622092905e-50,1.4122595805273935e-85,1.2762954285142637e-78,0.0,4.216370108211829e-27,1e-07,4.030524593800288e-27
1.961243197115935e-30,3.384610338641688e-196,2.871687138405462e-148,5.078716695365724e-49,0.01,1.907747359558285e-119,3.484377514283735e-190,3.81549471911657e-119,0.0,1.9742046943e-312,0.0,0.0,0.0,0.0,0.0,2.736967879282134e-233,9.796609984459274e-186,0.0,0.0,0.0,0.0,1.807509281884454e-166,2.0326853356419302e-27,0.0100001,3.4555650705912817e-28,55.56,9.553621077517074e-28,3.6126185459382725e-152,4.517370888313371e-185,0.0,1.6261482685135448e-28,1.2180081996480986e-54,1.9348051660206173e-131,9.368487173051885e-61,9.407270696569696e-54,0.000255,3.3726975189946797e-50,6.73961396840744e-85,6.0907630696455e-78,0.0,7.378647768380207e-27,1e-07,7.053418114677498e-27
2.8017760078803144e-30,4.9972066651632966e-194,3.2820100565959586e-147,1.0364728038513189e-48,0.01,1.0026049412978806e-118,6.390016120173278e-188,2.005209882595761e-118,0.0,3.501455909465788e-309,0.0,0.0,0.0,0.0,0.0,7.19087108934497e-231,1.527885904510367e-184,0.0,0.0,0.0,0.0,2.8190036741728502e-165,2.9038362062117313e-27,0.0100001,4.936521550559944e-28,55.56,1.364803016919514e-27,4.1288099388842286e-151,7.045322123314511e-184,0.0,2.323068964969386e-28,2.4857310409834797e-54,1.1758619606080136e-130,1.9119361741438826e-60,1.9198511790112377e-53,0.000255,6.883056220175859e-50,1.8951549545978644e-84,1.7127004399404713e-77,0.0,1.0540925428548585e-26,1e-07,1.0076311635554708e-26
1.1207104115524108e-29,5.254095484244943e-190,2.7134926763603906e-144,1.6583565110225322e-47,0.01,1.6834505502368586e-115,2.4787938736867656e-184,3.366901100473717e-115,0.0,1.3526624251118924e-303,0.0,0.0,0.0,0.0,0.0,1.117088520149258e-226,5.287958950272375e-181,0.0,0.0,0.0,0.0,9.756471779527356e-162,1.1615344911909745e-26,0.0100001,1.974608635024657e-27,55.56,5.4592121085975796e-27,3.41360792259924e-148,2.43836101043631e-180,0.0,9.292275929527798e-28,3.977169725195319e-53,1.1250532270793223e-127,3.0590979244891496e-59,3.0717619324667617e-52,0.000255,1.1012890117375608e-48,1.412259659161112e-82,1.2762954995775838e-75,0.0,4.216370203023237e-26,1e-07,4.0305246844326816e-26
1.9612432223167902e-29,3.384611493767718e-188,2.8716874094773607e-142,5.078716825882941e-47,0.01,1.9077474707722516e-114,3.48437872977321e-182,3.815494941544503e-114,5.484e-321,1.9742055539369652e-299,0.0,0.0,0.0,0.0,0.0,2.7369688653858415e-224,9.79661101765125e-179,0.0,0.0,0.0,0.0,1.807509472512038e-159,2.032685361760776e-26,0.0100001,3.455565114993319e-27,55.56,9.553621200275645e-27,3.6126188869501313e-146,4.517371364734436e-178,0.0,1.6261482894086212e-27,1.2180082309495178e-52,1.934805300835159e-126,9.368487413811307e-59,9.407270938325801e-52,0.000255,3.372697605669153e-48,6.739614209223208e-82,6.090763287276919e-75,0.0,7.378647863191616e-26,1e-07,7.053418205309893e-26
2.80177603308117e-29,4.997207178593926e-186,3.282010251322864e-141,1.0364728224966357e-46,0.01,1.0026049840512561e-113,6.390016796356133e-180,2.0052099681025123e-113,9.723335e-318,3.5014564554415094e-296,0.0,0.0,0.0,0.0,0.0,7.190871909428134e-222,1.5278860066960529e-177,0.0,0.0,0.0,0.0,2.8190038627090646e-158,2.903836232330577e-26,0.0100001,4.936521594961982e-27,55.56,1.3648030291953712e-26,4.128810183853125e-145,7.0453225945087745e-177,0.0,2.3230689858644627e-27,2.485731085699793e-52,1.175862014225996e-125,1.9119362085380852e-58,1.9198512135478246e-51,0.000255,6.883056343996537e-48,1.8951550037439395e-81,1.7127004843550466e-74,0.0,1.0540925523359995e-25,1e-07,1.0076311726187104e-25
1.1207104140724964e-28,5.2540957537261654e-182,2.713492764605757e-138,1.6583565184806595e-45,0.01,1.6834505655892086e-110,2.4787940198516687e-176,3.366901131178417e-110,3.756263736504e-312,1.3526625483794716e-290,0.0,0.0,0.0,0.0,0.0,1.117088588432037e-217,5.287959133302261e-174,0.0,0.0,0.0,0.0,9.756472117224003e-155,1.161534493802859e-25,0.0100001,1.9746086394648607e-26,55.56,5.459212120873437e-26,3.4136080336130205e-142,2.4383610948342684e-173,0.0,9.292275950422876e-27,3.977169743081843e-51,1.1250532445448219e-122,3.0590979382468284e-57,3.071761946281398e-50,0.000255,1.101289016690388e-46,1.4122596670244843e-79,1.2762955066839163e-72,0.0,4.216370212504378e-25,1e-07,4.0305246934959215e-25
1.9612432248368756e-28,3.384611609280333e-180,2.8716874365845543e-136,5.0787168389346626e-45,0.01,1.90774748189365e-109,3.484378851322175e-174,3.8154949637873e-109,5.482252068320436e-308,1.9742056399016392e-286,0.0,0.0,0.0,0.0,0.0,2.736968963996222e-215,9.796611120970461e-172,0.0,0.0,0.0,0.0,1.8075094915747984e-152,2.0326853643726602e-25,0.0100001,3.455565119433523e-26,55.56,9.553621212551503e-26,3.6126189210513213e-140,4.517371412376549e-171,0.0,1.6261482914981287e-26,1.2180082340796597e-50,1.9348053143166138e-121,9.368487437887242e-57,9.407270962501418e-50,0.000255,3.372697614336601e-46,6.739614233304781e-79,6.090763309040064e-72,0.0,7.378647872672757e-25,1e-07,7.053418214373132e-25
2.801776035601255e-28,4.997207229936997e-178,3.282010270795558e-135,1.0364728243611675e-44,0.01,1.0026049883265942e-108,6.390016863974427e-172,2.0052099766531884e-108,9.723337228057095e-305,3.501456510039091e-283,0.0,0.0,0.0,0.0,0.0,7.190871991436461e-213,1.5278860169146228e-170,0.0,0.0,0.0,0.0,2.819003881562689e-151,2.9038362349424616e-25,0.0100001,4.9365215994021855e-26,55.56,1.364803030422957e-25,4.128810208350018e-139,7.045322641628206e-170,0.0,2.32306898795397e-26,2.485731090171424e-50,1.1758620195877935e-120,1.911936211977505e-56,1.9198512170014836e-49,0.000255,6.8830563563786045e-46,1.8951550086585462e-78,1.7127004887965046e-71,0.0,1.0540925532841136e-24,1e-07,1.0076311735250344e-24
1.1207104143245047e-27,5.254095780674293e-174,2.713492773430294e-132,1.658356519226472e-43,0.01,1.6834505671244441e-105,2.4787940344681615e-168,3.3669011342488883e-105,3.7562637707492484e-299,1.352662560706232e-277,0.0,0.0,0.0,0.0,0.0,1.1170885952603154e-208,5.2879591516052554e-167,0.0,0.0,0.0,0.0,9.756472150993669e-148,1.1615344940640473e-24,0.0100001,1.974608639908881e-25,55.56,5.459212122101024e-25,3.4136080447143992e-136,2.4383611032740668e-166,0.0,9.292275952512382e-26,3.977169744870496e-49,1.1250532462913707e-117,3.0590979396225978e-55,3.071761947662861e-48,0.000255,1.1012890171856713e-44,1.4122596678108206e-76,1.2762955073945494e-69,0.0,4.216370213452492e-24,1e-07,4.0305246944022454e-24
1.961243225088884e-27,3.3846116208315956e-172,2.871687439295274e-130,5.078716840239835e-43,0.01,1.9077474830057897e-104,3.4843788634770726e-166,3.8154949660115794e-104,5.482252092192323e-295,1.9742056484981087e-273,0.0,0.0,0.0,0.0,0.0,2.736968973857263e-206,9.796611131302384e-165,0.0,0.0,0.0,0.0,1.8075094934810746e-145,2.0326853646338483e-24,0.0100001,3.4555651198775432e-25,55.56,9.55362121377909e-25,3.6126189244614405e-134,4.517371417140761e-164,0.0,1.6261482917070793e-25,1.218008234392674e-48,1.9348053156647575e-116,9.368487440294838e-55,9.407270964918977e-48,0.000255,3.3726976152033466e-44,6.739614235712938e-76,6.090763311216377e-69,0.0,7.37864787362087e-24,1e-07,7.053418215279457e-24
2.8017760358532636e-27,4.997207235071303e-170,3.282010272742827e-129,1.0364728245476206e-42,0.01,1.0026049887541278e-103,6.390016870736256e-164,2.0052099775082557e-103,9.723337243218519e-292,3.5014565154988517e-270,0.0,0.0,0.0,0.0,0.0,7.190871999637293e-204,1.5278860179364797e-163,0.0,0.0,0.0,0.0,2.8190038834480514e-144,2.9038362352036493e-24,0.0100001,4.936521599846206e-25,55.56,1.3648030305457155e-24,4.1288102107997065e-133,7.04532264634015e-163,0.0,2.3230689881629204e-25,2.4857310906185875e-48,1.1758620201239731e-115,1.9119362123214472e-54,1.9198512173468497e-47,0.000255,6.883056357616811e-44,1.8951550091500068e-75,1.7127004892406503e-68,0.0,1.054092553378925e-23,1e-07,1.0076311736156669e-23
1.1207104143497057e-26,5.254095783369105e-166,2.713492774312747e-126,1.6583565193010536e-41,0.01,1.6834505672779686e-100,2.4787940359298104e-160,3.366901134555937e-100,3.7562637741723155e-286,1.3526625619389156e-264,0.0,0.0,0.0,0.0,0.0,1.1170885959431441e-199,5.287959153435553e-160,0.0,0.0,0.0,0.0,9.756472154370635e-141,1.1615344940901663e-23,0.0100001,1.9746086399532828e-24,55.56,5.4592121222237816e-24,3.413608045824536e-130,2.438361104118046e-159,0.0,9.292275952721331e-25,3.9771697450493623e-47,1.1250532464660265e-112,3.0590979397601752e-53,3.0717619478010094e-46,0.000255,1.1012890172351993e-42,1.4122596678894544e-73,1.2762955074656135e-66,0.0,4.2163702135473035e-23,1.0000000000000001e-07,4.030524694492878e-23
